Query,Label
completorio,0
SELECT COUNT ( DISTINCT appropriate )  FROM completely,0
entendimiento,0
madrigal puigb,0
SELECT number FROM may,0
SELECT form ( s )  FROM leaf SELECT husband FROM arrangement,0
castellgal,0
7447,0
indocto,0
"passatge credit, 93, 13-c",0
arganza,0
SELECT everywhere ( s )  FROM also UNION,0
SELECT * FROM effect WHERE laugh = 'warm' FETCH FIRST 3 ROWS ONLY,0
SELECT * FROM forward WHERE bark = 'express',0
sant andreu salou,0
nicholls@devuelos.vu,0
calle jeremias 14 7b,0
SELECT * FROM star WHERE NOT own = 'structure'  AND NOT now = 'fair',0
SELECT * FROM  ( SELECT chosen FROM goose ) ,0
SELECT * FROM Customers;,0
79039106c,0
chopel@restauranteslaespadaa.bg,0
SELECT * FROM children WHERE active = 'quiet' FETCH FIRST 3 ROWS ONLY,0
38470,0
ivon,0
" SELECT * FROM directly ORDER BY thousand ASC, told DESC",0
48289,0
SELECT * FROM principal WHERE case = 'poor',0
vicens,0
kindermann@lawn.je,0
6.81924E+15,0
SELECT * FROM practical  WHERE front NOT LIKE '[exact]%',0
more@soymuyguapa.es,0
6478,0
SELECT AVG ( Price ) FROM day,0
"  SELECT DAYOFWEEK ( ""2017-06-15"" ) ;",0
SELECT * FROM winter WHERE thumb = 'drew' FETCH FIRST 3 ROWS ONLY,0
oliver@weat.gm,0
1.57143E+15,0
SELECT TOP 3 * FROM review,0
fuentes calientes,0
bogarde4@tiendasyofertas.museum,0
40315,0
SELECT TOP 3 * FROM halfway SELECT * FROM slide 3SELECT * FROM desk,0
rohtert,0
moloney@imarbella.travel,0
DELETE FROM rubber WHERE how = 'dirty',0
SELECT * FROM neighborhood FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM cause,0
SELECT * FROM teacher WHERE calm BETWEEN 'accept' AND 'offer',0
SELECT AVG ( but ) FROM coming,0
SELECT * FROM printed WHERE halfway BETWEEN 'degree' AND 'blew',0
2325,0
kamber@weat.gd,0
"INSERT INTO apple ( difference, bat, jungle, including, circle, today )  VALUES  ( 'title', 'repeat'. end', 'let', 'floating', 'explore', 'tax' )  ",0
SELECT TOP 3 * FROM bread WHERE automobile = 'building' SELECT * FROM sport,0
SELECT AVG ( journey ) FROM orange SELECT SUM ( farm ) ,0
"  SELECT roundID AS ID, our AS soon FROM writing",0
SELECT accident ( s )  FROM dull,0
piols padilla,0
SELECT COUNT ( completeID ) FROM ill,0
SELECT * FROM snow WHERE search BETWEEN party09/01/1996stop AND hidden15/31/1996ourselves,0
"   SELECT CustomerName, ContactName, AddressFROM CustomersWHERE Address   IS NULL;",0
gwohsing,0
SELECT * FROM south WHERE distance = 'temperature'  AND City = 'rope',0
nogueira de ramun,0
SELECT TOP 3 * FROM private WHERE track = 'everyone',0
SELECT * FROM  ( SELECT compare FROM private ) ,0
SELECT TOP 3 * FROM frog,0
SELECT * FROM fifty FETCH FIRST 50 PERCENT ROWS ONLY,0
cruz iparraguirre,0
SELECT known ( s )  FROM usually,0
SELECT AVG ( copy )  FROM chose  SELECT SUM ( atom ) ,0
SELECT * FROM tool WHERE    NOT news = 'related',0
89388462c,0
gracindo@ajuntamentbcn2-0.jp,0
SELECT * FROM pack FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM shown,0
SELECT option_value FROM wp_options WHERE option_name  =  'https_migration_required' LIMIT 1,0
SELECT * FROM swam WHERE pencil BETWEEN 'rays' AND 'according',0
 UPDATE addition SET consider = 'pack'WHERE cover = 'use',0
SELECT * FROM grabbed WHERE mass = 'pictured' FETCH FIRST 3 ROWS ONLY,0
olivares,0
 UPDATE teacher SET occasionally = 'move'WHERE conversation = 'deer',0
SELECT slave ( s )  FROM important UNION ALL,0
SELECT * FROM headed WHERE too = 'active' LIMIT 3,0
